magnitude_homerange,month_pld,species,class
-2,2,Sarda chiliensis,1
0,2,Sarda orientalis,1
-1,1,Sarda sarda,4
-3,2,Sardina pilchardus,1
-1,2,Sardinella aurita,1
-3,2,Sardinella brasiliensis,1
-2,2,Sardinella gibbosa,1
-3,2,Sardinella lemuru,1
-3,2,Sardinella longiceps,1
-3,2,Sardinella maderensis,1
-3,2,Sardinella zunasi,1
-2,2,Sardinops sagax,1
-2,2,Sargocentron spiniferum,1
-1,2,Saurida tumbil,1
-2,2,Saurida undosquamis,1
-1,1,Scarus ghobban,4
-2,2,Scarus persicus,1
-1,1,Sciaenops ocellatus,4
-3,2,Scolopsis taeniata,1
-2,2,Scomber australasicus,1
-1,1,Scomber japonicus,4
-1,2,Scomber scombrus,1
-1,1,Scomberesox saurus,4
-1,2,Scomberoides commersonnianus,1
-2,2,Scomberoides lysan,1
-1,2,Scomberoides tol,1
-1,2,Scomberomorus brasiliensis,1
-1,1,Scomberomorus cavalla,4
0,2,Scomberomorus commerson,1
-2,1,Scomberomorus guttatus,4
-2,2,Scomberomorus lineolatus,1
-2,1,Scomberomorus maculatus,4
-1,2,Scomberomorus niphonius,1
-1,2,Scomberomorus regalis,1
-2,2,Scomberomorus sierra,1
-2,2,Scomberomorus tritor,1
-2,2,Scophthalmus aquosus,1
-1,2,Scophthalmus maximus,1
-2,2,Scophthalmus rhombus,1
-1,3,Sebastes aleutianus,3
-2,3,Sebastes alutus,3
-3,2,Sebastes carnatus,1
-3,3,Sebastes chlorostictus,3
-2,3,Sebastes crameri,3
-2,3,Sebastes diploproa,3
-2,3,Sebastes elongatus,3
-2,2,Sebastes entomelas,1
-2,2,Sebastes flavidus,1
-2,2,Sebastes goodei,1
-4,3,Sebastes jordani,3
-2,2,Sebastes melanostomus,1
-2,3,Sebastes norvegicus,3
-2,2,Sebastes paucispinis,1
-2,2,Sebastes pinniger,1
-2,3,Sebastes polyspinis,3
-2,2,Sebastes ruberrimus,1
-2,3,Sebastes rufus,3
-2,3,Sebastes variabilis,3
-1,3,Sebastolobus alascanus,3
