species,common_name,homerange,n_ind,kfin,r_fin,iucn_category,length,diet_troph3,Class,demers_pelag,family,movement_keyword,geog_range,m_fin
Acanthistius brasilianus,NA,NA,NA,43325.50972401451,0.3928226144,DD,60,4.024307255856252,Actinopteri,benthopelagic,Serranidae,habitat_benthic,772500,2
Acanthocybium solandri,NA,NA,NA,23280.69490597547,0.5226842261,LC,250,4.26,Actinopteri,pelagic-oceanic,Scombridae,pelagic,193442500,3
Acanthopagrus berda,NA,NA,NA,141.20340086105253,0.5477488469,LC,90,3.5479200071957036,Actinopteri,demersal,Sparidae,habitat_coastal,6690000,2
Acanthopagrus bifasciatus,NA,NA,NA,1089.8122439405827,0.4867076902,LC,36.20000076293945,3.445169816308135,Actinopteri,reef-associated,Sparidae,habitat_reef,815000,2
Acanthurus sohal,NA,NA,NA,202.6964938343385,0.5303693121,LC,40,2.146781040547033,Actinopteri,reef-associated,Acanthuridae,habitat_reef,955000,2
Acipenser transmontanus,NA,NA,NA,3863.4215497305504,0.08634625958,LC,610,3.25,Actinopteri,demersal,Acipenseridae,habitat_coastal,350000,2
Aethaloperca rogaa,NA,NA,NA,161.752398336464,0.3928226144,LC,60,4.201784858298417,Actinopteri,reef-associated,Serranidae,habitat_reef,10922500,2
Alepes djedaba,NA,NA,NA,261.8920556073081,1.017167166,LC,40,3.379783268840452,Actinopteri,reef-associated,Carangidae,habitat_reef,8030000,2
Allocyttus niger,NA,NA,NA,53915.202790507756,0.06471891327,NA,47,3.5666018600843525,Actinopteri,bathypelagic,Oreosomatidae,habitat_deep,2897500,2
Allothunnus fallai,NA,NA,NA,451.36592552924174,0.5965182234,LC,105,3.7,Actinopteri,pelagic-oceanic,Scombridae,pelagic,48347500,3
Alopias superciliosus,NA,NA,NA,431.229239328541,0.07739734915,VU,487.9849853515625,4.51,Elasmobranchii,pelagic-oceanic,Alopiidae,hms,153285000,3
Alopias vulpinus,NA,NA,NA,2806.7838356139305,0.04730396346,VU,573.29998779296875,4.5,Elasmobranchii,pelagic-oceanic,Alopiidae,hms,225200000,3
Alosa fallax,NA,NA,NA,40.65587961844853,0.8061810569,LC,60,4.03,Actinopteri,pelagic-neritic,Clupeidae,migratory,2272500,3
Alosa immaculata,NA,NA,NA,984.1313685209641,0.989034626,VU,39,3.98,Actinopteri,pelagic-neritic,Clupeidae,migratory,90000,3
Alosa pseudoharengus,NA,NA,NA,24511.51959734142,1.842742708,LC,40,3.39,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,887500,2
Alosa sapidissima,NA,NA,NA,4287.867606198165,1.012650669,LC,76,3.48,Actinopteri,pelagic-neritic,Clupeidae,pelagic,690000,3
Amblygaster sirm,NA,NA,NA,71364.8088060673,1.416628191,LC,27,2.978123494091911,Actinopteri,reef-associated,Clupeidae,habitat_coastal,9910000,2
Amblyraja radiata,NA,NA,NA,20103.15384375277,0.107515916,VU,105,4.2,Elasmobranchii,demersal,Rajidae,migratory,2705000,3
Ammodytes personatus,NA,NA,NA,2935070.7042080476,0.3440538855,NA,15,3.1525,Actinopteri,demersal,Ammodytidae,habitat_coastal,1835000,2
Amphichthys cryptocentrus,NA,NA,NA,3263.489612967477,0.57223899,LC,40,3.75,Actinopteri,reef-associated,Batrachoididae,sedentary,972500,1
Anarhichas denticulatus,NA,NA,NA,25393.14083064306,0.1006708078,NA,180,4.052330035189225,Actinopteri,benthopelagic,Anarhichadidae,habitat_deep,3635000,2
Anarhichas lupus,NA,NA,NA,81375.50791907193,0.1049453849,NA,150,3.55,Actinopteri,demersal,Anarhichadidae,habitat_coastal,1955000,2
Anchoa nasus,NA,NA,NA,7225.316677489695,1.296884333,LC,17,3.33,Actinopteri,pelagic-neritic,Engraulidae,habitat_coastal,865000,2
Anodontostoma chacunda,NA,NA,NA,116060.52568381379,1.401207267,LC,22,2.9314187816964736,Actinopteri,pelagic-neritic,Clupeidae,habitat_coastal,8597500,2
Anoplopoma fimbria,NA,NA,NA,951557.8095011188,0.03540638376,NA,120,3.84,Actinopteri,bathydemersal,Anoplopomatidae,deep,2682500,3
Antimora rostrata,NA,NA,NA,486.5318366167408,0.11723796,LC,75,3.6226474187502995,Actinopteri,bathypelagic,Moridae,deep,222710000,3
Aphanopus carbo,NA,NA,NA,84676.53885824281,0.3460890631,NA,151,4.463330798739503,Actinopteri,bathypelagic,Trichiuridae,deep,2627500,3
Aphareus rutilans,NA,NA,NA,1738.8744501521078,0.3122157554,LC,110,4.117716520299497,Actinopteri,reef-associated,Lutjanidae,habitat_reef,9965000,2
Aphia minuta,NA,NA,NA,40.81806962950948,1.70140334,NA,7.900000095367432,3.1742829494227247,Actinopteri,pelagic-neritic,Gobiidae,habitat_coastal,2717500,2
Aplodactylus punctatus,NA,NA,NA,41.96266254577875,0.6301792688,NA,43.70000076293945,2.04,Actinopteri,demersal,Aplodactylidae,habitat_coastal,240000,2
Aprion virescens,NA,NA,NA,113.3144341711675,0.5884863697,LC,112,4.28,Actinopteri,reef-associated,Lutjanidae,habitat_reef,12892500,2
Apsilus fuscus,NA,NA,NA,3.1393973294345847,0.5911962728,LC,75,4.005625411875805,Actinopteri,demersal,Lutjanidae,habitat_reef,512500,2
Archosargus probatocephalus,NA,NA,NA,6582.156032563397,0.6095795937,LC,91,3.575942786528677,Actinopteri,reef-associated,Sparidae,habitat_reef,2200000,2
Arctoscopus japonicus,NA,NA,NA,108251.21576896915,0.6301792688,NA,30,3.557260933640028,Actinopteri,bathydemersal,Trichodontidae,habitat_benthic,1677500,2
Argentina silus,NA,NA,NA,2785.4347248766558,0.07340039175,NA,70,3.32,Actinopteri,bathypelagic,Argentinidae,pelagic,2310000,3
Argentina sphyraena,NA,NA,NA,5669.6790039008965,0.2277031908,NA,35,3.49,Actinopteri,bathydemersal,Argentinidae,pelagic,2555000,3
Argyrops spinifer,NA,NA,NA,11308.838871446711,0.4944861328,LC,70,4.49,Actinopteri,demersal,Sparidae,habitat_coastal,13112500,2
Argyrosomus hololepidotus,NA,NA,NA,81983.30163018277,0.2279530542,EN,200,4.48,Actinopteri,demersal,Sciaenidae,habitat_coastal,347500,2
Argyrosomus regius,NA,NA,NA,35019.83378620683,0.1490752935,LC,230,4.285853196297338,Actinopteri,benthopelagic,Sciaenidae,migratory,1400000,3
Arripis trutta,NA,NA,NA,45063.2202129168,0.2858312819,NA,89,4.07,Actinopteri,pelagic-neritic,Arripidae,habitat_coastal,930000,2
Atheresthes evermanni,NA,NA,NA,47522.58493761609,0.1722365063,NA,100,4.3,Actinopteri,demersal,Pleuronectidae,habitat_benthic,1745000,2
Atheresthes stomias,NA,NA,NA,3356654.471531703,0.1928365429,NA,84,4.17,Actinopteri,demersal,Pleuronectidae,habitat_benthic,1287500,2
Atherina boyeri,NA,NA,NA,5070.648817451686,0.8125863471,LC,20,3.2863740667546186,Actinopteri,demersal,Atherinidae,habitat_coastal,1385000,2
