species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Aethaloperca rogaa,NA,Serranidae,NA,10922500,habitat_reef,reef-associated,60,NA,161.7523983,0.392822614,4.201784858,Actinopteri,LC,0.034744312,29.61158528,NA
Alepes djedaba,NA,Carangidae,NA,8030000,habitat_reef,reef-associated,40,NA,261.8920556,1.017167166,3.379783269,Actinopteri,LC,0.021430749,37.50322986,NA
Allocyttus niger,NA,Oreosomatidae,NA,2897500,habitat_deep,bathypelagic,47,NA,53915.20279,0.064718913,3.56660186,Actinopteri,NA,0.09562125,57.42709887,NA
Allothunnus fallai,NA,Scombridae,NA,48347500,pelagic,pelagic-oceanic,105,NA,451.3659255,0.596518223,3.7,Actinopteri,LC,1.006909146,30.69430762,NA
Alosa fallax,NA,Clupeidae,NA,2272500,migratory,pelagic-neritic,60,NA,40.65587962,0.806181057,4.03,Actinopteri,LC,0.045559756,35.56004388,NA
Alosa immaculata,NA,Clupeidae,NA,90000,migratory,pelagic-neritic,39,NA,984.1313685,0.989034626,3.98,Actinopteri,VU,0.007079126,36.54466663,NA
Alosa pseudoharengus,NA,Clupeidae,NA,887500,habitat_coastal,pelagic-neritic,40,NA,24511.5196,1.842742708,3.39,Actinopteri,LC,0.060781818,29.96572933,5.484285714
Alosa sapidissima,NA,Clupeidae,NA,690000,pelagic,pelagic-neritic,76,NA,4287.867606,1.012650669,3.48,Actinopteri,LC,0.109367407,31.1198105,8.916666667
Amblygaster sirm,NA,Clupeidae,NA,9910000,habitat_coastal,reef-associated,27,NA,71364.80881,1.416628191,2.978123494,Actinopteri,LC,0.001822796,46.50725303,NA
Ammodytes personatus,NA,Ammodytidae,NA,1835000,habitat_coastal,demersal,15,NA,2935070.704,0.344053886,3.1525,Actinopteri,NA,0.001542446,49.7468625,NA
Amphichthys cryptocentrus,NA,Batrachoididae,NA,972500,sedentary,reef-associated,40,NA,3263.489613,0.57223899,3.75,Actinopteri,LC,0.015967157,28.27429759,NA
