species,observed_homerange,family,n_ind,movement_keyword,demers_pelag,length,common_name,diet_troph3,Class,iucn_category,genus,r_fin,kfin,geog_range,references,predicted_homerange
Citharichthys stigmaeus,NA,NA,NA,habitat_benthic,NA,17,NA,3.454345763,NA,NA,NA,NA,NA,NA,NA,9.148241080463012e-4
Cymatogaster aggregata,NA,NA,NA,habitat_benthic,NA,20.299999239999998,NA,3.071441012,NA,NA,NA,NA,NA,NA,NA,9.124609627018518e-4
Embiotoca jacksoni,NA,NA,NA,habitat_benthic,NA,39,NA,3.370293501,NA,NA,NA,NA,NA,NA,NA,0.00772140445196617
Embiotoca lateralis,NA,NA,NA,habitat_benthic,NA,38,NA,3.388971781,NA,NA,NA,NA,NA,NA,NA,0.007225921640396609
Engraulis mordax,NA,NA,NA,pelagic,NA,24.799999239999998,NA,3.174171555,NA,NA,NA,NA,NA,NA,NA,0.01181896507005161
Girella nigricans,NA,NA,NA,habitat_deep,NA,66,NA,2.146866126,NA,NA,NA,NA,NA,NA,NA,0.0813813806657998
Gymnothorax mordax,NA,NA,NA,habitat_benthic,NA,152,NA,4.5,NA,NA,NA,NA,NA,NA,NA,2.6988835848230104
Halichoeres semicinctus,NA,NA,NA,habitat_reef,NA,38,NA,3.323597799,NA,NA,NA,NA,NA,NA,NA,0.01755122199304145
Heterodontus francisci,NA,NA,NA,habitat_benthic,NA,122,NA,3.2,NA,NA,NA,NA,NA,NA,NA,0.019610432220511783
Heterostichus rostratus,NA,NA,NA,habitat_benthic,NA,61,NA,3.911963636,NA,NA,NA,NA,NA,NA,NA,0.014461233890762972
Hexagrammos decagrammus,NA,NA,NA,habitat_benthic,NA,61,NA,3.631789348,NA,NA,NA,NA,NA,NA,NA,0.013018699455337967
Hexagrammos lagocephalus,NA,NA,NA,habitat_benthic,NA,61,NA,3.67,NA,NA,NA,NA,NA,NA,NA,0.011890529666328944
Hyperprosopon argenteum,NA,NA,NA,habitat_benthic,NA,30,NA,3.547737166,NA,NA,NA,NA,NA,NA,NA,9.013318419207659e-4
Hypsypops rubicundus,NA,NA,NA,habitat_reef,NA,30,NA,3.230206397,NA,NA,NA,NA,NA,NA,NA,9.225472179009521e-4
Liparis mucosus,NA,NA,NA,habitat_benthic,NA,13,NA,3.77,NA,NA,NA,NA,NA,NA,NA,5.689802818701912e-4
Lythrypnus dalli,NA,NA,NA,habitat_benthic,NA,6.400000095,NA,3.276902098,NA,NA,NA,NA,NA,NA,NA,9.541289306950906e-4
Medialuna californiensis,NA,NA,NA,habitat_benthic,NA,48,NA,2.772588524,NA,NA,NA,NA,NA,NA,NA,0.01464110493592335
Micrometrus minimus,NA,NA,NA,habitat_benthic,NA,16,NA,2.875319066,NA,NA,NA,NA,NA,NA,NA,8.878970619297976e-4
Mola mola,NA,NA,NA,pelagic,NA,333,NA,3.34227608,NA,NA,NA,NA,NA,NA,NA,24.647615980312317
Mugil cephalus,NA,NA,NA,habitat_deep,NA,100,NA,2.595144859,NA,NA,NA,NA,NA,NA,NA,0.0646116807183872
Neoclinus uninotatus,NA,NA,NA,habitat_benthic,NA,25,NA,3.547737166,NA,NA,NA,NA,NA,NA,NA,9.013318419207659e-4
Oxyjulis californica,NA,NA,NA,habitat_benthic,NA,25,NA,3.211528116,NA,NA,NA,NA,NA,NA,NA,9.439263252808944e-4
Oxylebius pictus,NA,NA,NA,habitat_benthic,NA,25,NA,3.473024044,NA,NA,NA,NA,NA,NA,NA,9.148241080463012e-4
Paralabrax clathratus,NA,NA,NA,habitat_deep,NA,72,NA,3.93,NA,NA,NA,NA,NA,NA,NA,0.15966515826746167
Paralabrax maculatofasciatus,NA,NA,NA,habitat_reef,NA,60,NA,4.201476984,NA,NA,NA,NA,NA,NA,NA,0.07695850066956895
Paralabrax nebulifer,NA,NA,NA,habitat_reef,NA,67,NA,3.575754586,NA,NA,NA,NA,NA,NA,NA,0.1156078129889303
